procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 1400240   9120 1578012    0    0  3356  1846 8436 7496 26 23  5 46  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 4  0      0 1395924   9120 1581420    0    0  3104  2073 10245 8276 34 31  4 31  0
 1  3      0 1392388   9120 1585012    0    0  3268  1902 9446 7804 33 32  5 30  0
 3  1      0 1388956   9120 1588320    0    0  3020  2017 8848 7575 32 27  4 37  0
 1  3      0 1384828   9120 1591952    0    0  3412  1614 8638 7202 30 28  4 38  0
 0  4      0 1380544   9120 1595740    0    0  3496  1749 8932 7632 29 27  4 40  0
 4  1      0 1376512   9120 1599552    0    0  3624  1526 8177 6869 27 22  4 46  1
 3  1      0 1372796   9120 1603152    0    0  3368  1685 7792 6978 26 27  5 43  0
 0  2      0 1368684   9120 1606832    0    0  3400  1714 9771 7824 35 28  4 34  0
 2  2      0 1364400   9120 1610560    0    0  3412  1917 9855 8344 32 30  5 33  0
 1  2      0 1360620   9120 1614080    0    0  3220  1870 8611 7565 27 28  5 40  0
 1  3      0 1356368   9120 1617812    0    0  3516  1605 7771 6893 27 21  3 48  0
 2  2      0 1352620   9120 1621488    0    0  3436  1638 8665 7501 28 26  5 41  0
 2  2      0 1348524   9120 1625248    0    0  3560  1681 8041 7268 26 23  4 47  1
 1  1      0 1344768   9120 1628672    0    0  3124  1958 9682 8255 28 32  5 35  0
 4  0      0 1340736   9120 1632336    0    0  3384  1669 8392 7204 26 26  2 46  0
 4  0      0 1337208   9120 1635612    0    0  3076  1918 8786 7446 26 28  5 41  0
 2  2      0 1333428   9120 1638984    0    0  3080  1901 8924 7887 25 26  6 43  1
 1  3      0 1329396   9120 1642320    0    0  2996  2186 10205 8519 32 30  5 33  0
 3  1      0 1325616   9120 1645988    0    0  3424  1617 8256 7100 23 27  4 46  0
 1  3      0 1321740   9120 1649492    0    0  3264  1846 8650 7381 27 27  4 42  0
 2  0      0 1318276   9120 1652868    0    0  3108  1881 9700 7960 28 28  5 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  3      0 1314088   9120 1656504    0    0  3308  1880 9164 7596 30 28  3 38  1
 1  2      0 1310244   9120 1659892    0    0  3084  1981 10015 8122 32 29  5 34  0
 2  2      0 1306464   9120 1663232    0    0  3044  2006 10007 8343 31 30  5 34  0
 0  2      0 1302644   9120 1666472    0    0  2920  2121 10888 8369 29 32  4 34  0
 1  2      0 1299360   9120 1669780    0    0  2960  2194 10010 8451 31 31  4 34  0
 2  2      0 1295264   9120 1673092    0    0  3132  1821 9186 7627 29 27  5 39  0
 0  3      0 1291424   9120 1676644    0    0  3212  1946 9703 8091 30 32  3 35  0
 2  2      0 1287516   9120 1680344    0    0  3372  1577 8359 7114 26 25  3 46  0
 0  3      0 1283484   9120 1683848    0    0  3252  1790 8699 7496 24 23  3 49  0
 5  0      0 1280208   9120 1686980    0    0  2820  2165 10646 8575 31 35  6 28  1
 3  0      0 1276460   9120 1690396    0    0  3040  2078 10322 8390 32 31  5 32  0
 2  1      0 1272648   9120 1693580    0    0  2896  2129 9793 8435 30 30  6 34  0
 2  2      0 1269112   9120 1696712    0    0  2824  2170 10233 8522 30 30  7 32  0
 2  2      0 1265332   9120 1700020    0    0  3028  2001 9744 7839 28 30  5 37  0
 1  1      0 1262056   9120 1703236    0    0  2872  2362 10002 8651 28 31  5 36  0
 0  3      0 1258056   9120 1706892    0    0  3456  1569 7466 6865 22 23  6 50  1
 4  1      0 1254780   9120 1709852    0    0  2584  2526 12312 9625 34 35  5 25  0
 4  0      0 1250936   9120 1713044    0    0  2936  2013 9843 8212 28 27  3 42  0
 2  2      0 1247188   9120 1716504    0    0  3072  2014 9759 8097 31 25  6 38  0
 3  1      0 1243156   9120 1719780    0    0  2944  2093 10567 8540 31 33  5 31  0
 1  2      0 1239652   9120 1723056    0    0  3012  1858 8808 7503 28 28  4 39  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 1236092   9120 1726228    0    0  2828  2273 10699 8581 38 30  4 28  0
 3  1      0 1232628   9120 1729356    0    0  2816  2190 10420 8434 32 32  5 31  1
 4  0      0 1229036   9120 1732716    0    0  3120  1817 9090 7499 31 28  5 36  0
 4  0      0 1225256   9120 1735848    0    0  2796  2254 10627 8775 38 27  6 30  0
 0  4      0 1221508   9120 1739036    0    0  2876  2201 10650 8677 30 33  5 32  0
 3  1      0 1218444   9120 1741956    0    0  2632  2226 10605 8735 34 30  6 29  0
 3  1      0 1215168   9120 1744956    0    0  2640  2341 11152 8676 31 35  5 28  0
 1  3      0 1211632   9120 1747956    0    0  2668  2330 10793 8726 35 32  6 26  1
 4  0      0 1208136   9120 1750972    0    0  2704  2257 10717 8859 37 30  6 27  0
 1  2      0 1204672   9120 1754208    0    0  2908  2250 10499 8679 31 31  5 33  0
 2  3      0 1201048   9120 1757340    0    0  2764  2323 11427 8932 37 34  5 24  1
 5  0      0 1197584   9120 1760500    0    0  2840  2266 10434 8555 30 34  5 31  0
 1  3      0 1193772   9120 1763764    0    0  2928  2009 8979 7610 28 28  5 38  0
 0  2      0 1190464   9120 1766528    0    0  2500  2470 11421 9037 36 31  7 25  1
 2  2      0 1186968   9120 1769924    0    0  3092  1997 10130 8495 31 31  4 34  0
 4  0      0 1182936   9120 1773200    0    0  3004  1922 8898 7783 25 30  3 40  1
 2  2      0 1179620   9120 1776356    0    0  2836  2181 10641 8734 34 33  5 29  0
 3  0      0 1175620   9120 1779564    0    0  2924  2198 9954 8610 29 25  8 39  0
 1  3      0 1172124   9120 1783164    0    0  3388  1793 8504 7422 27 25  4 43  0
 0  1      0 1168312   9120 1786156    0    0  2640  2238 11088 9081 32 35  5 29  0
 1  2      0 1164784   9120 1789312    0    0  2800  2233 10648 8815 34 32  4 30  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1      0 1161508   9120 1792304    0    0  2668  2358 10922 8920 36 33  6 26  0
 2  2      0 1158200   9120 1795188    0    0  2468  2601 12483 9176 38 38  4 20  0
 1  1      0 1154664   9120 1798180    0    0  2652  2338 10764 9102 31 35  5 28  1
 4  0      0 1151420   9120 1801128    0    0  2632  2233 10560 8608 35 30  5 29  0
 1  2      0 1147892   9120 1804520    0    0  3060  2002 9322 8145 30 28  5 37  0
 1  3      0 1144616   9120 1807600    0    0  2812  2125 9447 7993 29 30  5 35  0
 2  1      0 1140584   9120 1810760    0    0  2916  1882 9944 7481 33 33  3 32  0
 0  4      0 1137024   9120 1813732    0    0  2692  2273 10349 8738 33 32  5 30  1
 4  0      0 1133716   9120 1816660    0    0  2492  2494 11974 9507 36 36  6 21  0
 1  1      0 1130756   9120 1819548    0    0  2488  2513 11258 8789 34 35  5 25  0
 2  2      0 1127188   9120 1822504    0    0  2580  2346 11413 9198 38 34  4 25  0
 4  0      0 1123848   9120 1825188    0    0  2364  2533 12121 9563 35 37  5 23  0
 2  2      0 1120384   9120 1828324    0    0  2700  2458 11614 9053 33 38  5 24  0
 2  2      0 1115092   9120 1831128    0    0  2376  3866 12961 9354 43 34  5 18  1
 4  0      0 1111596   9120 1833772    0    0  2292  4487 11977 9118 36 39  5 19  1
 2  3      0 1107468   9120 1836516    0    0  2372  4584 11999 9367 36 37  6 21  0
 2  3      0 1104540   9120 1839240    0    0  2288  4751 12099 9525 39 38  7 17  0
 1  4      0 1101044   9120 1841976    0    0  2380  4584 11939 9243 37 37  3 22  0
 0  5      0 1097760   9120 1845004    0    0  2668  4191 10107 8298 36 31  4 29  0
 1  2      0 1094168   9120 1847628    0    0  2316  4296 11070 8685 36 38  5 22  0
 3  1      0 1089192   9120 1850988    0    0  3016  4221 11325 8805 37 35  6 21  1
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 1085104   9120 1854344    0    0  2992  2239 10712 8488 32 36  4 28  0
 2  1      0 1081828   9120 1857436    0    0  2852  2154 10591 8699 35 31  3 31  0
 2  1      0 1078260   9120 1860612    0    0  2716  2489 11150 9375 34 32  7 27  0
 2  1      0 1074984   9120 1863360    0    0  2412  2650 11584 9736 36 33  5 26  0
 2  2      0 1071708   9120 1866432    0    0  2728  2329 10977 8765 34 33  5 28  1
 3  1      0 1068180   9120 1869328    0    0  2564  2442 10890 8866 30 32  4 34  0
 3  0      0 1064556   9120 1872332    0    0  2780  2209 10568 8350 32 34  4 30  0
 4  0      0 1061156   9120 1875332    0    0  2520  2534 11757 9257 36 37  6 22  0
 0  4      0 1057848   9120 1878140    0    0  2452  2533 11515 9058 35 38  6 21  0
 1  3      0 1054604   9120 1881260    0    0  2788  2242 10198 8291 31 36  4 29  1
 2  2      0 1051280   9120 1883856    0    0  2200  2777 12181 9689 38 36  7 20  0
 5  0      0 1048288   9120 1886540    0    0  2352  2598 11769 9389 36 37  6 22  0
 3  1      0 1045044   9120 1889372    0    0  2516  2461 11319 9263 34 34  6 26  0
 1  3      0 1041200   9120 1892912    0    0  3172  1926 9086 7385 26 30  3 41  0
 1  3      0 1037956   9120 1895728    0    0  2528  2353 10443 8631 27 36  5 32  0
 3  0      0 1034900   9120 1898384    0    0  2304  2646 12435 9778 36 38  5 20  0
 2  2      0 1031404   9120 1901084    0    0  2256  2765 13206 9736 41 40  5 13  1
 3  1      0 1028404   9120 1903848    0    0  2360  2598 11310 9133 37 37  5 21  0
 3  1      0 1025096   9120 1906380    0    0  2140  2833 12312 9933 35 38  6 22  0
 4  0      0 1022796   9120 1908440    0    0  1712  1922 18714 6563 28 41  3 28  0
 4  0      0 1019204   9120 1911324    0    0  2576  2605 12690 9343 38 41  4 17  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  1      0 1016244   9120 1914024    0    0  2284  2670 12004 9518 31 40  8 20  1
 2  2      0 1013188   9120 1916680    0    0  2224  2713 12281 9480 36 39  5 20  0
 3  1      0 1009944   9120 1919476    0    0  2476  2482 11457 9095 31 37  6 27  0
 1  3      0 1006700   9120 1922124    0    0  2256  2689 12709 9508 39 37  5 19  0
 1  2      0 1003384   9120 1924932    0    0  2372  2650 11862 9239 34 38  6 22  1
 2  2      0 1000108   9120 1927680    0    0  2360  2577 12028 9441 36 38  3 23  0
 5  0      0 997368   9120 1930052    0    0  2052  2778 13135 9996 38 40  5 18  0
 2  2      0 994060   9120 1932680    0    0  2104  2953 13670 10357 41 39  5 15  0
 4  0      0 990532   9120 1935632    0    0  2556  2524 11220 9321 36 32  7 25  0
 3  2      0 987760   9120 1938152    0    0  2132  2726 12257 9739 40 35  6 19  0
 1  1      0 984484   9120 1940684    0    0  2132  2789 12444 9455 35 41  5 19  0
 4  1      0 981516   9120 1943136    0    0  2056  2870 13254 10046 41 37  4 18  0
 2  1      0 978492   9120 1945776    0    0  2212  2745 12851 9425 40 36  5 19  0
 4  0      0 975120   9120 1948340    0    0  2208  2670 12038 9684 36 35  7 21  1
 3  1      0 972128   9120 1950976    0    0  2200  2661 11884 9578 36 34  5 25  0
 4  0      0 969388   9120 1953468    0    0  2068  2890 12837 10250 40 37  6 18  0
 3  1      0 966112   9120 1955956    0    0  2056  2885 13126 10010 38 37  6 18  0
 3  1      0 963340   9120 1958408    0    0  2048  2822 12280 9578 38 38  5 19  0
 5  0      0 960120   9120 1960936    0    0  2108  2777 12585 9994 39 36  6 19  0
