procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 521016  17404 2446172    0    0  8532  7548 6129 4954 42 19  0 39  1
 1  4      0 510644  17404 2455476    0    0  9192  6350 5980 4854 39 20  1 41  0
 1  4      0 499076  17404 2464828    0    0  9192  7405 5062 4431 39 16  0 45  0
 0  5      0 489468  17404 2474524    0    0  9724  6545 2877 2211 35 11  0 55  0
 5  0      0 609924  17404 2354272    0    0  8552  6906 4852 3175 42 14  1 44  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 601580  17404 2363732    0    0  9200  7040 4688 3706 40 15  2 43  1
 5  0      0 592096  17404 2373216    0    0  9488  6635 3594 2999 37 10  0 52  0
 3  3      0 584024  17404 2380132    0    0  6836  7566 7009 5754 45 22  1 33  0
 2  3      0 580528  17404 2384224    0    0  3940  9323 6049 5875 49 17  0 34  0
 1  3      0 575928  17404 2388044    0    0  3600 10746 6366 6184 51 19  1 30  0
 1  3      0 572840  17404 2391508    0    0  3308  9890 6824 6122 55 23  0 18  3
 0  5      0 564360  17404 2400628    0    0  9012  7842 3672 3115 44 10  0 46  0
 1  4      0 553744  17404 2411240    0    0 10604  5396 2056 1276 31  7  0 63  0
 2  2      0 542908  17404 2421836    0    0 10668  5342 1678 1366 27  8  0 65  0
 1  4      0 535664  17404 2429164    0    0  7136  8058 4340 4203 41 12  0 46  0
 1  4      0 531600  17404 2432992    0    0  3740  8422 5940 5725 52 18  0 29  1
 4  1      0 527032  17404 2436824    0    0  3652  5505 6467 6147 54 19  0 25  1
 4  1      0 521740  17404 2440600    0    0  3604  5616 7383 6803 52 22  0 26  0
 2  2      0 518308  17404 2444572    0    0  3832  6414 6260 6149 51 19  0 29  0
 1  4      0 512700  17404 2448380    0    0  3656  4402 6848 6390 52 21  0 27  0
 1  4      0 620580  17404 2339432    0    0  3092 10127 6193 5742 47 20  0 33  0
 0  4      0 620740  17404 2339684    0    0   136 16496  816  665 32  5  0 63  1
 1  4      0 650108  17404 2308336    0    0  1708 13196 3384 2934 38 11  1 50  0
 2  2      0 645564  17404 2311324    0    0  2792 11270 8652 7732 54 25  1 21  0
 1  4      0 645448  17404 2315124    0    0  3724 12680 6139 6053 52 17  0 31  0
 1  4      0 640272  17404 2319800    0    0  4440 12209 4757 4416 50 12  1 38  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  2      0 669616  17404 2290216    0    0  3260 11870 7717 6846 49 24  0 27  0
 5  0      0 666112  17404 2293508    0    0  3088 10938 7689 6397 53 27  1 17  4
 3  2      0 663024  17404 2297216    0    0  3536 11591 7377 6823 52 22  0 26  0
 1  3      0 688736  17404 2270064    0    0  5632  8396 5373 4876 38 15  1 47  0
 2  2      0 682672  17404 2275688    0    0  5488  9181 5268 4996 38 13  1 49  0
 2  3      0 678084  17404 2281484    0    0  5672  7964 3982 4025 35 11  4 50  0
 3  2      0 673372  17404 2287148    0    0  5616  9025 4404 4234 35 15  1 46  3
 1  4      0 701056  17404 2258480    0    0  4100 11952 6738 6417 45 20  2 34  0
 1  3      0 716820  17404 2240708    0    0  1756 13016 3332 2794 42  9  0 49  0
 1  3      0 709260  17404 2248224    0    0  7500  8816 3954 3591 35 10  0 55  0
 0  5      0 703968  17404 2253188    0    0  4788  8405 5556 5404 38 17  1 45  0
 2  2      0 699628  17404 2257568    0    0  4244  8406 5951 5560 39 18  1 43  0
 0  4      0 694076  17404 2262308    0    0  4512  7629 6216 5910 39 22  1 35  2
 1  4      0 690176  17404 2265596    0    0  3144 14309 4038 3642 42 11  0 47  0
 1  3      0 689816  17404 2265764    0    0   200 15422  791  654 41  2  4 53  0
 1  4      0 719520  17404 2234376    0    0  1592 14736 1975 1716 40  7  0 53  1
 0  5      0 768016  17404 2184624    0    0  1680 13692 1383 1109 35  6  0 59  0
 1  2      0 761464  17404 2193228    0    0  8584  7203 5149 4369 35 17  1 44  4
 2  3      0 754684  17404 2201012    0    0  7520  8503 6557 4959 35 21  3 42  0
 0  2      0 746596  17404 2209196    0    0  8036  8272 6231 4724 35 20  0 46  0
