procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 3  0      0 126144  14084 984024    0    0 10016  2754 5915 9088  9  9  4 78  0
 0  5      0 116852  14084 984608    0    0  8544  3425 7456 10739 16 13  6 63  1
 1  4      0 106740  14084 985392    0    0  8464  3533 7287 10675 17 18  6 60  1
 1  2      0 120704  14064 961456    0    0  9440  3244 6370 9391 13 15  5 67  0
 0  5      0 110088  14064 961884    0    0  9536  2963 5811 9305 13 12  2 73  1
 0  4      0 124016  14064 938740    0    0  9168  3068 5907 9368 11 17  5 67  0
 0  7      0 117172  14072 939100    0    0  7296 10418 5045 8058 10 11  4 74  1
 1  3      0 107924  14072 939684    0    0  8272  4168 6526 9881 15 13  7 65  0
 1  4      0 119548  14072 917288    0    0  9904  2731 5464 8750  9 15  1 75  0
 0  6      0 108744  14072 917556    0    0 10128  2805 5172 8457 10 10  6 74  1
 2  5      0 119100  14072 895664    0    0 10736  2494 4641 7885  8 12  5 75  0
 0  6      0 109304  14072 896152    0    0  8912  2745 6669 9882 13 15  2 69  1
 0  4      0 120912  13976 875076    0    0  8864  3547 6652 10110 16 14  4 64  2
 2  3      0 110572  13976 875660    0    0  9008  3050 6549 9844 11 18  9 62  0
 1  3      0 121676  13452 855208    0    0  9584  2740 5873 9114 12 15  5 68  1
 3  6      0 112384  13452 855892    0    0  8224  3766 6709 10420 13 18  9 60  0
 1  3      0 122560  12944 836320    0    0  9120  3057 6300 9615 13 18  4 65  0
 0  1      0 113644  12944 837024    0    0  8160  3394 6524 10203 15 21  7 56  2
 2  4      0 103376  12952 837400    0    0  9648  3041 5686 9006 12 13  4 70  0
 0  4      0 114520  12444 818616    0    0  8032  6459 6764 10312 15 17  8 60  0
 0  4      0 104440  12444 819076    0    0  8896  3926 6114 9233  7  7  2 83  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  4      0 114452  12320 800356    0    0  8608  3359 7394 10490 13 19 10 59  0
 0  6      0 104204  12320 800840    0    0  9184  3369 6179 9605 11 17  5 65  2
 1  3      0 113892  12232 782572    0    0  8128  3353 7286 10827 17 17  6 60  0
 1  4      0 103780  12240 783100    0    0  8896  3365 6786 10235 14 17  7 62  0
 2  6      0 112924  11992 765144    0    0  8416  3350 7868 10766 16 18 12 54  0
 4  1      0 120016  11992 746924    0    0 10928  2467 4908 7911 10 13  1 77  0
 1  1      0 110188  11992 747380    0    0  9280  3169 5825 9314 13 14  2 70  2
 1  2      0 119528  11992 729780    0    0  8336  3311 7466 10614 15 19  8 57  1
 0  5      0 108188  11992 730136    0    0 10368  2849 5505 8476 14 14  8 64  1
 1  3      0 114528  12000 712960    0    0 10240  2791 5946 8618 11 15  6 69  0
 0  4      0 104416  12000 713316    0    0  9344  2772 6269 9501 14 12  2 73  0
 1  4      0 111796  12000 696736    0    0  9220  3078 6470 9654 14 14  8 64  0
 0  5      0 110308  12000 696856    0    0  1200 18248 1524 2305  3  3  4 91  0
 0  2      0 109520  12000 696904    0    0   656 14820  994 1650  2  5  6 87  1
 0  4      0 108764  12000 696940    0    0   816 15397  906 1586  1  2  9 89  0
 0  9      0 107504  12008 696956    0    0  1200 15399 1058 1699  6 13  8 74  0
 0  2      0 117860  12008 680496    0    0  4272  9355 3270 4870  9  7  2 82  0
 4  0      0 108568  12008 681184    0    0  8608  3488 7432 10746 12 20 12 55  1
 3  2      0 115144  12004 665292    0    0  9104  7009 4652 7943  7 13  8 69  4
 0  2      0 104876  12004 665692    0    0  9344  3099 5830 9542 11 12  3 74  0
 3  0      0 110892  12004 650496    0    0  8176  7284 6495 9192 11 16 14 59  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 1  2      0 118136  12012 636088    0    0  7904  3542 8768 11780 20 16 10 54  0
 1  4      0 109980  12012 636748    0    0  8192  3403 7764 11189 11  8  8 72  0
 6  1      0 115476  12012 622572    0    0  7984  3552 7510 11053 16 16  7 59  2
 0  2      0 105420  12012 623164    0    0  8816  3074 6703 10221 10 16 10 64  0
 0  3      0 110500  12012 609416    0    0  8704  3426 6866 10312 15 18  7 60  0
