procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  3      0 116376  15300 2838636    0    0  2760  2866 7652 7426 29 24  5 42  1
 1  3      0 112628  15300 2841472    0    0  2620  3090 8323 7971 29 26  6 39  0
 0  2      0 110824  15300 2844072    0    0  2308  3307 8931 8347 33 24  9 34  1
 6  0      0 107516  15300 2846696    0    0  2444  3040 8541 7954 34 23  7 35  0
 0  2      0 104484  15300 2849080    0    0  2092  3558 9686 8823 30 31  8 31  0
 3  1      0 118668  15284 2834472    0    0  2556  2981 8474 8106 32 26  7 34  1
 3  2      0 115456  15284 2837072    0    0  2352  3353 9773 8742 36 32  7 25  1
 0  2      0 111824  15284 2839856    0    0  2436  3215 8946 8458 35 25  6 34  1
 4  0      0 108516  15284 2842336    0    0  2116  3577 10125 9164 36 36  8 19  0
 0  4      0 106304  15284 2844388    0    0  1740  3645 10785 10149 35 30  8 26  0
 0  3      0 120448  15128 2829580    0    0  2056  3539 10628 9414 38 32  7 22  0
 2  2      0 117612  15128 2832124    0    0  2276  3297 8123 7983 29 27 15 28  2
 3  1      0 115376  15128 2834512    0    0  2096  3437 9612 9009 36 27  8 30  0
 0  3      0 114832  15128 2837124    0    0  2364  3179 8510 8231 31 26  6 36  0
 0  4      0 112028  15128 2839932    0    0  2564  3088 7995 7889 30 23  7 41  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 2  2      0 108532  15128 2842320    0    0  2132  3414 9079 8756 31 30  8 32  0
 4  0      0 105784  15128 2844944    0    0  2336  3355 8799 8101 32 27  6 33  1
 2  1      0 119896  15100 2830200    0    0  2140  3443 9661 9184 32 31  6 32  0
 2  2      0 117880  15100 2832588    0    0  2108  3379 9455 8968 36 31  5 28  0
 2  1      0 114100  15100 2835132    0    0  2284  3252 9292 8492 32 27  6 35  0
 3  2      0 110248  15100 2837904    0    0  2496  3204 9083 8508 30 22  6 42  0
 2  1      0 106028  15100 2840360    0    0  2252  3280 8648 8552 33 23  9 35  1
 4  1      0 119760  15072 2825600    0    0  1972  3345 9636 8815 38 33  6 23  0
 2  0      0 120132  15072 2827820    0    0  1832  3741 9887 9358 36 31  8 25  0
 2  1      0 118840  15072 2830068    0    0  1964  3614 9531 8981 37 28  8 28  0
 2  1      0 114556  15072 2832624    0    0  2368  3197 8159 8269 29 27  8 36  1
 1  2      0 111028  15072 2835732    0    0  2880  2778 7619 7166 33 21  8 38  1
 2  2      0 107900  15072 2837772    0    0  1756  3747 9949 9442 37 27  7 29  0
 1  2      0 105476  15072 2840412    0    0  2300  3266 9551 8931 35 27  7 31  0
 2  1      0 119836  15040 2825388    0    0  1620  3768 9894 9792 33 29 10 28  0
 0  2      0 118328  15040 2828120    0    0  2440  2994 8286 8242 32 28  5 36  0
 3  0      0 115052  15040 2830448    0    0  2136  3306 8642 8486 33 24  8 34  1
